match_id,team,opponent,match_won,rank_diff,titles_diff,hist_win_pct_diff,goals_scored_diff,goals_conceded_diff,squad_value_diff,avg_rating_diff,star_player_diff,avg_age_diff,attack_rating_diff,midfield_rating_diff,defense_rating_diff,manager_experience_diff,manager_win_rate_diff,manager_trophies_diff
1,Qatar,Morocco,0,27,0,-0.19999999999999996,-0.2999999999999998,0.5,-330,-5.799999999999997,-3,-1.2666666666666657,-1.0,-6.200000000000003,-7.200000000000003,-7,-0.12,-7
1,Morocco,Qatar,1,-27,0,0.19999999999999996,0.2999999999999998,-0.5,330,5.799999999999997,3,1.2666666666666657,1.0,6.200000000000003,7.200000000000003,7,0.12,7
2,Ghana,Ecuador,0,16,0,-0.020000000000000018,0.0,0.09999999999999987,-60,-4.466666666666669,-7,-0.533333333333335,-2.6666666666666714,-5.3999999999999915,-5.400000000000006,-8,0.06,-2
2,Ecuador,Ghana,1,-16,0,0.020000000000000018,0.0,-0.09999999999999987,60,4.466666666666669,7,0.533333333333335,2.6666666666666714,5.3999999999999915,5.400000000000006,8,-0.06,2
3,Japan,Peru,1,-31,0,0.14000000000000007,0.7,-0.09999999999999987,200,8.533333333333331,9,-0.5333333333333314,8.333333333333329,9.600000000000009,7.799999999999997,7,0.10000000000000003,4
3,Peru,Japan,0,31,0,-0.14000000000000007,-0.7,0.09999999999999987,-200,-8.533333333333331,-9,0.5333333333333314,-8.333333333333329,-9.600000000000009,-7.799999999999997,-7,-0.10000000000000003,-4
4,England,New Zealand,1,-44,1,0.30000000000000004,1.2000000000000002,-0.4999999999999999,1270,12.399999999999991,12,-0.2666666666666657,12.0,10.200000000000003,15.399999999999991,11,0.28,7
4,New Zealand,England,0,44,-1,-0.30000000000000004,-1.2000000000000002,0.4999999999999999,-1270,-12.399999999999991,-12,0.2666666666666657,-12.0,-10.200000000000003,-15.399999999999991,-11,-0.28,-7
5,Mexico,Denmark,1,2,0,-0.030000000000000027,-0.19999999999999996,0.19999999999999996,-90,-0.2666666666666657,3,0.06666666666666643,0.0,-2.4000000000000057,1.0,1,-0.020000000000000018,-2
5,Denmark,Mexico,0,-2,0,0.030000000000000027,0.19999999999999996,-0.19999999999999996,90,0.2666666666666657,-3,-0.06666666666666643,0.0,2.4000000000000057,-1.0,-1,0.020000000000000018,2
6,England,Morocco,0,-9,1,0.07000000000000006,0.7000000000000002,0.09999999999999998,920,3.3333333333333286,6,-1.3333333333333321,7.666666666666657,2.4000000000000057,2.3999999999999915,2,0.17000000000000004,0
6,Morocco,England,0,9,-1,-0.07000000000000006,-0.7000000000000002,-0.09999999999999998,-920,-3.3333333333333286,-6,1.3333333333333321,-7.666666666666657,-2.4000000000000057,-2.3999999999999915,-2,-0.17000000000000004,0
7,Mexico,Egypt,0,-10,0,0.02999999999999997,0.10000000000000009,0.30000000000000004,80,3.066666666666677,2,-1.6000000000000014,3.0,1.7999999999999972,4.200000000000003,-1,0.06,0
7,Egypt,Mexico,1,10,0,-0.02999999999999997,-0.10000000000000009,-0.30000000000000004,-80,-3.066666666666677,-2,1.6000000000000014,-3.0,-1.7999999999999972,-4.200000000000003,1,-0.06,0
8,Germany,Ivory Coast,1,-31,4,0.14999999999999997,0.5999999999999999,0.09999999999999987,590,9.466666666666669,10,2.8000000000000007,9.0,10.199999999999989,8.400000000000006,5,0.16999999999999998,-1
8,Ivory Coast,Germany,0,31,-4,-0.14999999999999997,-0.5999999999999999,-0.09999999999999987,-590,-9.466666666666669,-10,-2.8000000000000007,-9.0,-10.199999999999989,-8.400000000000006,-5,-0.16999999999999998,1
9,England,Netherlands,1,-4,1,0.040000000000000036,0.30000000000000004,-0.20000000000000007,550,1.86666666666666,0,-2.0,1.3333333333333286,0.4000000000000057,3.0,5,0.10000000000000009,5
9,Netherlands,England,0,4,-1,-0.040000000000000036,-0.30000000000000004,0.20000000000000007,-550,-1.86666666666666,0,2.0,-1.3333333333333286,-0.4000000000000057,-3.0,-5,-0.10000000000000009,-5
10,Iraq,Argentina,0,40,-3,-0.35,-1.1,0.3999999999999999,-1015,-10.866666666666674,-12,-1.1333333333333329,-12.666666666666657,-9.200000000000003,-12.0,-5,-0.31999999999999995,-6
10,Argentina,Iraq,1,-40,3,0.35,1.1,-0.3999999999999999,1015,10.866666666666674,12,1.1333333333333329,12.666666666666657,9.200000000000003,12.0,5,0.31999999999999995,6
11,Tunisia,Belgium,0,26,0,-0.2,-0.7999999999999998,0.0,-555,-7.200000000000003,-6,1.4000000000000021,-9.0,-5.799999999999997,-7.199999999999989,-6,-0.24,-4
11,Belgium,Tunisia,1,-26,0,0.2,0.7999999999999998,0.0,555,7.200000000000003,6,-1.4000000000000021,9.0,5.799999999999997,7.199999999999989,6,0.24,4
12,Morocco,Australia,1,-10,0,0.10999999999999999,0.09999999999999987,-0.3999999999999999,260,3.200000000000003,1,1.2666666666666657,2.0,3.0,4.200000000000003,0,0.07,7
12,Australia,Morocco,0,10,0,-0.10999999999999999,-0.09999999999999987,0.3999999999999999,-260,-3.200000000000003,-1,-1.2666666666666657,-2.0,-3.0,-4.200000000000003,0,-0.07,-7
13,Egypt,Algeria,1,-2,0,0.010000000000000009,0.0,0.0,10,2.0,7,3.466666666666665,1.3333333333333428,1.5999999999999943,2.799999999999997,2,-0.04999999999999999,-2
13,Algeria,Egypt,0,2,0,-0.010000000000000009,0.0,0.0,-10,-2.0,-7,-3.466666666666665,-1.3333333333333428,-1.5999999999999943,-2.799999999999997,-2,0.04999999999999999,2
14,Chile,Turkey,0,19,0,-0.020000000000000018,-0.19999999999999996,0.0,-120,-5.13333333333334,-4,1.7333333333333343,-5.333333333333329,-4.0,-5.400000000000006,4,-0.07,2
14,Turkey,Chile,1,-19,0,0.020000000000000018,0.19999999999999996,0.0,120,5.13333333333334,4,-1.7333333333333343,5.333333333333329,4.0,5.400000000000006,-4,0.07,-2
15,Denmark,Switzerland,0,1,0,0.010000000000000009,0.10000000000000009,-0.09999999999999987,50,-0.3333333333333286,-2,0.06666666666666643,-1.3333333333333286,0.4000000000000057,0.0,-4,-0.030000000000000027,-3
15,Switzerland,Denmark,1,-1,0,-0.010000000000000009,-0.10000000000000009,0.09999999999999987,-50,0.3333333333333286,2,-0.06666666666666643,1.3333333333333286,-0.4000000000000057,0.0,4,0.030000000000000027,3
16,Mexico,Belgium,0,15,0,-0.14,-0.5999999999999999,0.19999999999999996,-430,-4.133333333333326,-3,1.3333333333333321,-6.0,-5.200000000000003,-2.3999999999999915,-5,-0.14,-6
16,Belgium,Mexico,1,-15,0,0.14,0.5999999999999999,-0.19999999999999996,430,4.133333333333326,3,-1.3333333333333321,6.0,5.200000000000003,2.3999999999999915,5,0.14,6
17,Sweden,Ghana,1,-20,0,0.07,0.19999999999999996,0.0,90,5.333333333333329,5,0.7333333333333343,4.666666666666671,7.799999999999997,4.599999999999994,6,0.06,3
17,Ghana,Sweden,0,20,0,-0.07,-0.19999999999999996,0.0,-90,-5.333333333333329,-5,-0.7333333333333343,-4.666666666666671,-7.799999999999997,-4.599999999999994,-6,-0.06,-3
18,Uzbekistan,Cameroon,0,8,0,-0.04999999999999999,-0.10000000000000009,-0.09999999999999987,-70,-1.5999999999999943,-1,1.6000000000000014,-1.6666666666666714,-1.2000000000000028,-2.0,-8,-0.09000000000000002,0
18,Cameroon,Uzbekistan,0,-8,0,0.04999999999999999,0.10000000000000009,0.09999999999999987,70,1.5999999999999943,1,-1.6000000000000014,1.6666666666666714,1.2000000000000028,2.0,8,0.09000000000000002,0
19,South Korea,Uruguay,0,8,-2,-0.06000000000000005,-0.20000000000000018,0.0,-270,-3.333333333333343,-4,0.13333333333333286,-3.0,-1.7999999999999972,-3.5999999999999943,-5,-0.13999999999999996,-3
19,Uruguay,South Korea,1,-8,2,0.06000000000000005,0.20000000000000018,0.0,270,3.333333333333343,4,-0.13333333333333286,3.0,1.7999999999999972,3.5999999999999943,5,0.13999999999999996,3
20,Belgium,Netherlands,1,-2,0,0.010000000000000009,0.09999999999999987,0.0,-100,1.0666666666666629,-1,-2.7333333333333343,0.6666666666666714,0.0,1.7999999999999972,4,0.050000000000000044,4
20,Netherlands,Belgium,0,2,0,-0.010000000000000009,-0.09999999999999987,0.0,100,-1.0666666666666629,1,2.7333333333333343,-0.6666666666666714,0.0,-1.7999999999999972,-4,-0.050000000000000044,-4
21,Germany,Japan,0,-4,4,0.04999999999999993,0.19999999999999996,0.09999999999999987,570,2.0,3,2.466666666666665,3.0,1.1999999999999886,2.0,-4,0.07999999999999996,-4
21,Japan,Germany,0,4,-4,-0.04999999999999993,-0.19999999999999996,-0.09999999999999987,-570,-2.0,-3,-2.466666666666665,-3.0,-1.1999999999999886,-2.0,4,-0.07999999999999996,4
22,Chile,Portugal,0,38,0,-0.21000000000000002,-0.8,0.30000000000000004,-870,-8.200000000000003,-6,-0.46666666666666856,-8.0,-9.0,-8.400000000000006,1,-0.25,1
22,Portugal,Chile,1,-38,0,0.21000000000000002,0.8,-0.30000000000000004,870,8.200000000000003,6,0.46666666666666856,8.0,9.0,8.400000000000006,-1,0.25,-1
