team,fifa_ranking,world_cup_titles,historical_win_percentage,goals_scored_per_match,goals_conceded_per_match,squad_value_euro_million,avg_player_rating,max_player_rating,avg_player_age,player_total_market_value,total_intl_caps,defense_rating,attack_rating,goalkeeper_rating,midfield_rating,manager_experience_years,manager_matches_managed,manager_win_rate,manager_trophies_won,manager_intl_experience
Argentina,1,3,0.72,2.1,0.8,1050,83.46666666666667,87,26.933333333333334,9440.1,472,84.6,83.33333333333333,84.0,82.2,21,339,0.71,6,1
France,2,2,0.7,2.2,0.9,1200,84.2,89,26.2,11305.119999999999,384,83.6,84.33333333333333,86.5,83.8,18,260,0.65,2,1
Spain,3,1,0.68,2.0,0.8,1000,84.86666666666666,88,26.733333333333334,14114.56,431,86.4,83.33333333333333,83.5,84.8,16,289,0.66,6,1
England,4,1,0.65,2.1,0.9,1300,83.6,89,25.866666666666667,11643.93,381,83.8,84.33333333333333,83.0,83.2,23,420,0.68,7,1
Brazil,5,5,0.73,2.3,1.0,1100,83.86666666666666,88,25.866666666666667,12287.6,497,85.4,82.0,84.5,83.2,21,274,0.68,5,1
Belgium,6,0,0.62,1.9,1.1,650,82.8,88,25.133333333333333,8620.16,334,82.6,83.66666666666667,82.0,82.8,22,210,0.63,6,1
Portugal,7,0,0.64,2.0,1.0,980,81.26666666666667,84,26.666666666666668,5182.79,478,81.4,80.66666666666667,79.5,82.2,16,241,0.64,1,1
Netherlands,8,0,0.61,1.8,1.1,750,81.73333333333333,89,27.866666666666667,7234.389999999999,494,80.8,83.0,79.5,82.8,18,197,0.58,2,1
Italy,9,4,0.58,1.6,0.9,700,82.33333333333333,86,25.933333333333334,8216.61,479,83.4,83.33333333333333,81.5,81.0,20,342,0.59,3,1
Colombia,10,0,0.59,1.7,1.0,320,83.06666666666666,88,27.466666666666665,8459.84,524,84.6,81.0,82.5,83.0,16,253,0.62,4,1
Croatia,11,0,0.57,1.5,1.2,420,81.26666666666667,87,26.866666666666667,6560.11,432,81.4,83.33333333333333,81.0,80.0,15,319,0.55,3,1
Germany,12,4,0.6,1.9,1.2,850,81.93333333333334,86,27.2,6490.91,411,82.2,82.33333333333333,81.5,81.6,17,213,0.61,0,0
Morocco,13,0,0.58,1.4,0.8,380,80.26666666666667,83,27.2,4442.91,482,81.4,76.66666666666667,81.5,80.8,21,355,0.51,7,0
Uruguay,14,2,0.56,1.6,1.1,480,81.2,87,25.666666666666668,6404.01,398,81.6,80.0,86.0,79.6,21,337,0.57,5,0
USA,15,0,0.52,1.5,1.2,350,80.6,86,26.133333333333333,6005.79,418,81.2,82.0,80.5,79.2,15,206,0.5,0,1
Japan,16,0,0.55,1.7,1.1,280,79.93333333333334,83,24.733333333333334,4344.74,347,80.2,79.33333333333333,79.0,80.4,21,338,0.53,4,1
Senegal,17,0,0.54,1.4,1.0,290,79.93333333333334,84,25.133333333333333,4344.18,360,79.2,80.0,79.0,81.0,20,218,0.51,1,1
Switzerland,18,0,0.5,1.4,1.2,260,79.26666666666667,84,26.333333333333332,3633.74,388,79.2,79.0,79.0,79.6,20,330,0.54,5,0
Denmark,19,0,0.51,1.5,1.1,310,78.93333333333334,82,26.4,3151.55,424,79.2,77.66666666666667,77.5,80.0,16,280,0.51,2,1
Iran,20,0,0.49,1.3,0.9,80,80.53333333333333,83,25.8,4613.28,377,78.8,81.66666666666667,82.5,80.8,15,308,0.49,1,1
