team,fifa_ranking,world_cup_titles,historical_win_percentage,goals_scored_per_match,goals_conceded_per_match,squad_value_euro_million
Argentina,1,3,0.72,2.1,0.8,1050
France,2,2,0.7,2.2,0.9,1200
Spain,3,1,0.68,2.0,0.8,1000
England,4,1,0.65,2.1,0.9,1300
Brazil,5,5,0.73,2.3,1.0,1100
Belgium,6,0,0.62,1.9,1.1,650
Portugal,7,0,0.64,2.0,1.0,980
Netherlands,8,0,0.61,1.8,1.1,750
Italy,9,4,0.58,1.6,0.9,700
Colombia,10,0,0.59,1.7,1.0,320
Croatia,11,0,0.57,1.5,1.2,420
Germany,12,4,0.6,1.9,1.2,850
Morocco,13,0,0.58,1.4,0.8,380
Uruguay,14,2,0.56,1.6,1.1,480
USA,15,0,0.52,1.5,1.2,350
Japan,16,0,0.55,1.7,1.1,280
Senegal,17,0,0.54,1.4,1.0,290
Switzerland,18,0,0.5,1.4,1.2,260
Denmark,19,0,0.51,1.5,1.1,310
Iran,20,0,0.49,1.3,0.9,80
Mexico,21,0,0.48,1.3,1.3,220
South Korea,22,0,0.5,1.4,1.1,210
Australia,23,0,0.47,1.3,1.2,120
Sweden,24,0,0.49,1.4,1.2,240
Ukraine,25,0,0.46,1.3,1.2,200
Turkey,26,0,0.45,1.4,1.3,230
Austria,27,0,0.46,1.3,1.2,190
Ecuador,28,0,0.44,1.2,1.1,210
Poland,29,0,0.43,1.2,1.3,170
Nigeria,30,0,0.46,1.3,1.1,250
Egypt,31,0,0.45,1.2,1.0,140
Tunisia,32,0,0.42,1.1,1.1,95
Algeria,33,0,0.44,1.2,1.0,130
Cameroon,34,0,0.41,1.1,1.2,110
Canada,35,0,0.45,1.3,1.3,180
Costa Rica,36,0,0.4,1.1,1.3,60
Panama,37,0,0.38,1.0,1.4,45
Jamaica,38,0,0.39,1.1,1.4,85
Saudi Arabia,39,0,0.4,1.1,1.2,70
Qatar,40,0,0.38,1.1,1.3,50
Iraq,41,0,0.37,1.0,1.2,35
Uzbekistan,42,0,0.36,1.0,1.1,40
Ivory Coast,43,0,0.45,1.3,1.1,260
Ghana,44,0,0.42,1.2,1.2,150
Chile,45,0,0.43,1.2,1.3,110
Paraguay,46,0,0.4,1.0,1.2,95
Peru,47,0,0.41,1.0,1.2,80
New Zealand,48,0,0.35,0.9,1.4,30
